"Number pokemon 1","Attack pokemon 1","Defense pokemon 1","Generation pokemon 1","HP pokemon 1","Legendary pokemon 1","Name pokemon 1","Sp. Atk pokemon 1","Sp. Def pokemon 1","Speed pokemon 1","Type 1 pokemon 1","Type 2 pokemon 1","Number pokemon 2","Winning pokemon"
266,64,50,2,50,False,Larvitar,45,50,41,Rock,Ground,298,298
702,90,72,5,91,True,Virizion,90,129,108,Grass,Fighting,701,701
191,40,85,2,55,False,Togetic,80,105,40,Fairy,Flying,668,668
237,40,40,2,40,False,Slugma,70,40,20,Fire,,683,683
151,60,125,1,70,False,Omastar,115,70,55,Rock,Water,231,151
657,47,50,5,50,False,Joltik,57,50,65,Bug,Electric,752,657
192,50,45,2,40,False,Natu,70,45,70,Psychic,Flying,134,134
73,80,50,1,70,False,Machop,35,35,35,Fighting,,545,545
220,65,90,2,50,False,Pineco,35,35,15,Bug,,763,763
302,30,30,3,40,False,Wingull,55,30,85,Water,Flying,31,31
442,55,30,4,40,False,Starly,30,30,60,Normal,Flying,130,130
701,129,90,5,91,True,Terrakion,72,90,108,Rock,Fighting,624,701
15,20,55,1,50,False,Metapod,25,25,30,Bug,,283,283
151,60,125,1,70,False,Omastar,115,70,55,Rock,Water,87,151
269,164,150,2,100,False,"Mega Tyranitar",95,120,71,Rock,Dark,462,269
763,53,62,6,50,False,Clauncher,58,63,44,Water,,448,448
143,85,80,1,130,False,Lapras,85,95,60,Water,Ice,263,263
365,40,60,3,45,False,Swablu,40,75,50,Normal,Flying,240,240
499,145,88,4,70,False,"Mega Lucario",140,70,112,Fighting,Steel,774,499
563,100,85,5,95,False,Samurott,108,70,70,Water,,578,563
440,66,68,4,64,False,Prinplup,81,76,50,Water,,687,687
373,78,73,3,110,False,Whiscash,76,71,60,Water,Ground,441,441
654,40,50,5,55,False,Frillish,65,85,40,Water,Ghost,671,671
121,130,120,1,105,False,Rhydon,45,45,40,Ground,Rock,355,121
609,35,50,5,45,False,Petilil,70,50,30,Grass,,649,649
270,90,130,2,106,True,Lugia,90,154,110,Psychic,Flying,708,270
460,79,105,4,60,False,"Wormadam Sandy Cloak",59,85,36,Bug,Ground,568,568
626,78,103,5,54,False,Tirtouga,53,45,22,Water,Rock,767,767
139,100,95,1,75,False,Tauros,40,70,110,Normal,,451,139
694,109,112,5,58,False,Durant,48,48,109,Bug,Steel,747,694
455,165,60,4,97,False,Rampardos,65,50,58,Rock,,549,549
181,35,50,2,55,False,Ledian,55,110,85,Bug,Flying,301,301
208,75,55,2,75,False,Sunflora,105,85,30,Grass,,184,184
536,65,107,4,50,False,"Fan Rotom",105,107,86,Electric,Flying,365,536
260,75,37,2,45,False,Magby,70,55,83,Fire,,381,381
471,83,68,4,111,False,Gastrodon,92,82,39,Water,Ground,269,269
621,75,70,5,50,False,Scraggy,35,70,48,Dark,Fighting,287,287
406,30,55,3,43,False,Luvdisc,40,65,97,Water,,134,406
592,60,126,5,103,False,"Mega Audino",80,126,50,Normal,Fairy,503,503
564,55,39,5,45,False,Patrat,35,39,42,Normal,,242,242
579,55,50,5,50,False,Pidove,36,30,43,Normal,Flying,242,242
200,50,80,2,100,False,Azumarill,60,80,50,Water,Fairy,719,200
376,40,55,3,40,False,Baltoy,40,70,55,Ground,Psychic,135,376
76,75,35,1,50,False,Bellsprout,70,30,40,Grass,Poison,441,441
667,55,55,5,55,False,Elgyem,85,55,30,Psychic,,645,645
475,66,44,4,55,False,Buneary,44,56,85,Normal,,400,475
3,82,83,1,80,False,Venusaur,100,100,80,Grass,Poison,737,737
435,109,105,4,95,False,Torterra,75,85,56,Grass,Ground,45,435
231,10,230,2,20,False,Shuckle,10,230,5,Bug,Rock,146,146
510,62,50,4,60,False,Snover,62,60,40,Grass,Ice,715,715
456,42,118,4,30,False,Shieldon,42,88,30,Rock,Steel,260,260
164,190,100,1,106,True,"Mega Mewtwo X",154,100,130,Psychic,Fighting,751,751
424,150,140,3,100,True,Groudon,100,90,90,Ground,,754,424
258,30,15,2,45,False,Smoochum,85,65,65,Ice,Psychic,779,258
360,100,45,3,45,False,Trapinch,45,45,10,Ground,,208,208
723,59,58,6,59,False,Braixen,90,70,73,Fire,,646,646
384,70,70,3,70,False,Castform,70,70,70,Normal,,533,533
734,22,60,6,45,False,Spewpa,27,30,29,Bug,,673,673
141,125,79,1,95,False,Gyarados,60,100,81,Water,Flying,721,141
244,55,45,2,45,False,Delibird,65,45,75,Ice,Flying,741,244
509,20,50,4,45,False,Mantyke,60,120,50,Water,Flying,217,509
633,105,60,5,60,False,Zoroark,120,60,105,Dark,,44,633
595,140,95,5,105,False,Conkeldurr,55,65,45,Fighting,,719,595
606,100,89,5,60,False,Scolipede,55,69,112,Bug,Poison,40,606
368,115,60,3,73,False,Zangoose,60,60,90,Normal,,598,368
746,48,54,6,62,False,Espurr,63,60,68,Psychic,,584,746
350,140,70,3,70,False,"Mega Sharpedo",110,65,105,Water,Dark,187,350
303,50,100,3,60,False,Pelipper,85,70,65,Water,Flying,198,303
169,82,100,2,80,False,Meganium,83,100,80,Grass,,701,701
569,50,37,5,41,False,Purrloin,50,37,66,Dark,,115,115
231,10,230,2,20,False,Shuckle,10,230,5,Bug,Rock,172,172
71,50,45,1,55,False,Alakazam,135,95,120,Psychic,,440,71
659,50,91,5,44,False,Ferroseed,24,86,10,Grass,Steel,610,610
570,88,50,5,64,False,Liepard,88,50,106,Dark,,557,557
712,170,100,5,125,True,"Kyurem Black Kyurem",120,90,95,Dragon,Ice,40,712
451,120,79,4,80,False,Luxray,95,79,70,Electric,,352,451
661,55,70,5,40,False,Klink,45,60,30,Steel,,95,95
540,125,70,4,75,True,Azelf,125,70,115,Psychic,,4,540
130,45,55,1,30,False,Staryu,70,55,85,Water,,319,130
125,125,100,1,105,False,"Mega Kangaskhan",60,100,100,Normal,,418,418
309,60,62,3,70,False,Masquerain,80,82,60,Bug,Flying,276,276
579,55,50,5,50,False,Pidove,36,30,43,Normal,Flying,612,612
716,77,77,5,100,False,"Meloetta Aria Forme",128,128,90,Normal,Psychic,80,80
482,30,50,4,45,False,Chingling,65,50,45,Psychic,,535,535
376,40,55,3,40,False,Baltoy,40,70,55,Ground,Psychic,37,37
6,64,58,1,58,False,Charmeleon,80,65,80,Fire,,328,328
343,73,55,3,65,False,Volbeat,47,75,85,Bug,,159,159
509,20,50,4,45,False,Mantyke,60,120,50,Water,Flying,574,574
546,120,100,4,150,True,"Giratina Origin Forme",120,100,90,Ghost,Dragon,530,546
486,89,116,4,67,False,Bronzong,79,116,33,Steel,Psychic,229,229
686,85,70,5,45,False,Pawniard,40,40,60,Dark,Steel,213,213
304,25,25,3,28,False,Ralts,45,35,40,Psychic,Fairy,386,386
514,70,115,4,70,False,Magnezone,130,90,60,Electric,Steel,732,732
161,84,65,1,61,False,Dragonair,70,70,70,Dragon,,757,161
150,40,100,1,35,False,Omanyte,90,55,35,Rock,Water,265,265
436,58,44,4,44,False,Chimchar,58,44,61,Fire,,701,701
221,90,140,2,75,False,Forretress,60,60,40,Bug,Steel,265,265
436,58,44,4,44,False,Chimchar,58,44,61,Fire,,603,603
242,65,35,2,35,False,Remoraid,65,35,65,Water,,365,242
792,70,80,6,85,False,Noivern,97,80,123,Flying,Dragon,251,792
607,27,60,5,40,False,Cottonee,37,50,66,Grass,Fairy,295,607
439,51,53,4,53,False,Piplup,61,56,40,Water,,209,209
657,47,50,5,50,False,Joltik,57,50,65,Bug,Electric,360,657
436,58,44,4,44,False,Chimchar,58,44,61,Fire,,40,40
325,45,45,3,50,False,Skitty,35,35,50,Normal,,408,408
472,100,66,4,75,False,Ambipom,60,66,115,Normal,,89,472
71,50,45,1,55,False,Alakazam,135,95,120,Psychic,,777,71
47,45,35,1,40,False,Zubat,30,40,55,Poison,Flying,615,47
5,52,43,1,39,False,Charmander,60,50,65,Fire,,670,5
793,131,95,6,126,True,Xerneas,131,98,99,Fairy,,314,314
195,55,55,2,70,False,Flaaffy,80,60,45,Electric,,461,195
493,90,65,4,68,False,Gabite,50,55,82,Dragon,Ground,568,493
400,60,70,3,90,False,Sealeo,75,70,45,Ice,Water,341,341
63,105,60,1,65,False,,60,70,95,Fighting,,297,63
541,120,120,4,100,True,Dialga,150,100,90,Steel,Dragon,446,541
141,125,79,1,95,False,Gyarados,60,100,81,Water,Flying,152,141
54,55,50,1,60,False,Venonat,40,55,45,Bug,Poison,115,115
378,41,77,3,66,False,Lileep,61,87,23,Rock,Grass,161,161
224,85,200,2,75,False,Steelix,55,65,30,Steel,Ground,316,316
311,130,80,3,60,False,Breloom,60,60,70,Grass,Fighting,398,398
298,70,40,3,70,False,Nuzleaf,60,40,60,Grass,Dark,35,298
356,85,140,3,70,False,Torkoal,85,70,20,Fire,,132,356
103,65,80,1,60,False,"Mega Gengar",170,95,130,Ghost,Poison,370,103
503,90,110,4,70,False,Drapion,60,75,95,Poison,Dark,453,503
600,125,75,5,75,False,Sawk,30,75,85,Fighting,,598,600
445,45,40,4,59,False,Bidoof,35,40,31,Normal,,45,445
360,100,45,3,45,False,Trapinch,45,45,10,Ground,,548,548
303,50,100,3,60,False,Pelipper,85,70,65,Water,Flying,133,133
51,80,85,1,75,False,Vileplume,110,90,50,Grass,Poison,331,51
171,64,58,2,58,False,Quilava,80,65,80,Fire,,559,171
758,92,88,6,86,False,Malamar,68,75,73,Dark,Psychic,129,758
6,64,58,1,58,False,Charmeleon,80,65,80,Fire,,255,6
698,85,55,5,55,False,Larvesta,50,55,60,Bug,Fire,154,154
92,85,45,1,35,False,Doduo,35,35,75,Normal,Flying,491,491
381,125,100,3,75,False,Armaldo,70,80,45,Rock,Bug,73,381
354,100,70,3,70,False,Camerupt,105,75,40,Fire,Ground,271,271
219,80,65,2,70,False,Girafarig,90,65,85,Normal,Psychic,49,219
736,50,58,6,62,False,Litleo,73,54,72,Fire,Normal,244,244
683,120,90,5,77,False,Druddigon,60,90,48,Dragon,,245,245
533,65,107,4,50,False,"Heat Rotom",105,107,86,Electric,Fire,452,533
200,50,80,2,100,False,Azumarill,60,80,50,Water,Fairy,588,588
403,104,105,3,55,False,Huntail,94,75,52,Water,,636,403
56,55,25,1,10,False,Diglett,35,45,95,Ground,,561,561
54,55,50,1,60,False,Venonat,40,55,45,Bug,Poison,119,119
629,140,65,5,75,False,Archeops,112,65,110,Rock,Flying,141,629
547,70,120,4,120,False,Cresselia,75,130,85,Psychic,,779,547
380,95,50,3,45,False,Anorith,40,50,75,Rock,Bug,547,547
407,75,60,3,45,False,Bagon,40,30,50,Dragon,,307,307
153,115,105,1,60,False,Kabutops,65,70,80,Rock,Water,559,153
306,65,65,3,68,False,Gardevoir,125,115,80,Psychic,Fairy,268,306
89,35,70,1,25,False,Magnemite,95,55,45,Electric,Steel,382,89
54,55,50,1,60,False,Venonat,40,55,45,Bug,Poison,32,32
172,84,78,2,78,False,Typhlosion,109,85,100,Fire,,745,745
16,45,50,1,60,False,Butterfree,90,80,70,Bug,Flying,110,110
537,65,107,4,50,False,"Mow Rotom",105,107,86,Electric,Grass,734,537
278,85,60,3,60,False,Combusken,85,60,55,Fire,Fighting,94,278
342,40,50,3,60,False,Minun,75,85,95,Electric,,643,643
435,109,105,4,95,False,Torterra,75,85,56,Grass,Ground,165,165
638,55,95,5,70,False,Gothitelle,95,110,65,Psychic,,691,691
734,22,60,6,45,False,Spewpa,27,30,29,Bug,,718,718
298,70,40,3,70,False,Nuzleaf,60,40,60,Grass,Dark,781,298
42,70,73,1,95,False,Clefable,95,90,60,Fairy,,113,42
97,105,75,1,105,False,Muk,65,100,50,Poison,,316,97
416,50,100,3,80,True,Regice,100,200,50,Ice,,397,397
483,63,47,4,63,False,Stunky,41,41,74,Poison,Dark,400,483
275,85,65,3,70,False,Sceptile,105,85,120,Grass,,155,155
154,105,65,1,80,False,Aerodactyl,60,75,130,Rock,Flying,461,154
309,60,62,3,70,False,Masquerain,80,82,60,Bug,Flying,4,4
539,105,105,4,80,True,Mesprit,105,105,80,Psychic,,30,30
545,100,120,4,150,True,"Giratina Altered Forme",100,120,90,Ghost,Dragon,266,545
283,110,90,3,100,False,Swampert,85,90,60,Water,Ground,340,340
232,125,75,2,80,False,Heracross,40,95,85,Bug,Fighting,254,254
384,70,70,3,70,False,Castform,70,70,70,Normal,,427,427
161,84,65,1,61,False,Dragonair,70,70,70,Dragon,,781,161
