"Number pokemon 1","Number pokemon 2","Attack pokemon 2","Defense pokemon 2","Generation pokemon 2","HP pokemon 2","Legendary pokemon 2","Name pokemon 2","Sp. Atk pokemon 2","Sp. Def pokemon 2","Speed pokemon 2","Type 1 pokemon 2","Type 2 pokemon 2","Winning pokemon"
266,298,70,40,3,70,False,Nuzleaf,60,40,60,Grass,Dark,298
702,701,129,90,5,91,True,Terrakion,72,90,108,Rock,Fighting,701
191,668,75,75,5,75,False,Beheeyem,125,95,40,Psychic,,668
237,683,120,90,5,77,False,Druddigon,60,90,48,Dragon,,683
151,231,10,230,2,20,False,Shuckle,10,230,5,Bug,Rock,151
657,752,50,150,6,60,False,"Aegislash Shield Forme",50,150,60,Steel,Ghost,657
192,134,50,35,1,65,False,Jynx,115,95,95,Ice,Psychic,134
73,545,100,120,4,150,True,"Giratina Altered Forme",100,120,90,Ghost,Dragon,545
220,763,53,62,6,50,False,Clauncher,58,63,44,Water,,763
302,31,55,40,1,35,False,Pikachu,50,50,90,Electric,,31
442,130,45,55,1,30,False,Staryu,70,55,85,Water,,130
701,624,30,85,5,38,False,Yamask,55,65,30,Ghost,,701
15,283,110,90,3,100,False,Swampert,85,90,60,Water,Ground,283
151,87,75,110,1,95,False,Slowbro,100,80,30,Water,Psychic,151
269,462,94,50,4,70,False,Mothim,94,50,66,Bug,Flying,269
763,448,85,51,4,77,False,Kricketune,55,51,65,Bug,,448
143,263,85,75,2,90,True,Raikou,115,100,115,Electric,,263
365,240,100,80,2,100,False,Piloswine,60,60,50,Ice,Ground,240
499,774,50,150,6,50,False,Carbink,50,150,50,Rock,Fairy,499
563,578,55,85,5,116,False,Musharna,107,95,29,Psychic,,563
440,687,125,100,5,65,False,Bisharp,60,70,70,Dark,Steel,687
373,441,86,88,4,84,False,Empoleon,111,101,60,Water,Steel,441
654,671,55,90,5,60,False,Chandelure,145,90,80,Ghost,Fire,671
121,355,120,100,3,70,False,"Mega Camerupt",145,105,20,Fire,Ground,121
609,649,75,60,5,55,False,Emolga,75,60,103,Electric,Flying,649
270,708,150,120,5,100,True,Zekrom,120,100,90,Dragon,Electric,270
460,568,110,90,5,85,False,Stoutland,45,90,80,Normal,,568
626,767,89,77,6,58,False,Tyrunt,45,45,48,Rock,Dragon,767
139,451,120,79,4,80,False,Luxray,95,79,70,Electric,,139
694,747,48,76,6,74,False,"Meowstic Male",83,81,104,Psychic,,694
455,549,100,100,4,100,False,Manaphy,100,100,100,Water,,549
181,301,85,60,3,60,False,Swellow,50,50,125,Normal,Flying,301
208,184,90,80,2,85,False,Crobat,70,80,130,Poison,Flying,184
536,365,40,60,3,45,False,Swablu,40,75,50,Normal,Flying,536
260,381,125,100,3,75,False,Armaldo,70,80,45,Rock,Bug,381
471,269,164,150,2,100,False,"Mega Tyranitar",95,120,71,Rock,Dark,269
621,287,30,41,3,38,False,Zigzagoon,30,41,60,Normal,,287
406,134,50,35,1,65,False,Jynx,115,95,95,Ice,Psychic,406
592,503,90,110,4,70,False,Drapion,60,75,95,Poison,Dark,503
564,242,65,35,2,35,False,Remoraid,65,35,65,Water,,242
579,242,65,35,2,35,False,Remoraid,65,35,65,Water,,242
200,719,61,65,6,56,False,Chespin,48,45,38,Grass,,200
376,135,83,57,1,65,False,Electabuzz,95,85,105,Electric,,376
76,441,86,88,4,84,False,Empoleon,111,101,60,Water,Steel,441
667,645,65,65,5,51,False,Vanillish,80,75,59,Ice,,645
475,400,60,70,3,90,False,Sealeo,75,70,45,Ice,Water,475
3,737,68,72,6,86,False,Pyroar,109,66,106,Fire,Normal,737
435,45,45,20,1,115,False,Jigglypuff,45,25,20,Normal,Fairy,435
231,146,65,60,1,130,False,Vaporeon,110,95,65,Water,,146
510,715,72,90,5,91,False,"Keldeo Resolute Forme",129,90,108,Water,Fighting,715
456,260,75,37,2,45,False,Magby,70,55,83,Fire,,260
164,751,150,50,6,60,False,"Aegislash Blade Forme",150,50,60,Steel,Ghost,751
424,754,72,72,6,101,False,Aromatisse,99,89,29,Fairy,,424
258,779,70,48,6,43,False,Phantump,50,60,38,Ghost,Grass,258
360,208,75,55,2,75,False,Sunflora,105,85,30,Grass,,208
723,646,95,85,5,71,False,Vanilluxe,110,95,79,Ice,,646
384,533,65,107,4,50,False,"Heat Rotom",105,107,86,Electric,Fire,533
734,673,117,70,5,66,False,Fraxure,40,50,67,Dragon,,673
141,721,107,122,6,88,False,Chesnaught,74,75,64,Grass,Fighting,141
244,741,65,48,6,66,False,Skiddo,62,57,52,Grass,,244
509,217,72,48,2,48,False,Unown,72,48,48,Psychic,,509
